award_title,award_words,major_keywords,vision_contents,prestige,prestige_score,Big Major Category #1,Big Major Category #2,Big Major Category #3,Big Major Category #4
All-American High School Film Festival,,No Extra Match,Y,Extremely Selective,5,Communication,Visual Arts,,
Annual Architectural Design Competition for High School Students,Architectural Foundation of San Francisco High School Design Competition,No Extra Match,Y,Very Selective,4,Visual Arts,,,
Atlantic and College Board Writing Prize,,No Extra Match,Y,Very Selective,4,Humanities,,,
Ayn Rand Institute Contest,,No Extra Match,Y,Very Selective,4,Humanities,,,
Bennington Young Writers Award,,No Extra Match,Y,Very Selective,4,Humanities,,,
Blue Ocean Entrepreneurship Competition,,No Extra Match,Y,Very Selective,4,Business,,,
Caribou Mathematics Competition,,No Extra Match,Y,Selective,3,Math/Science,,,
Carnegie International Student Essay Contest,Carnegie Council,No Extra Match,Y,Extremely Selective,5,Social Science,Humanities,,
CET and NSHSS Scholarship for Gap Programs,,No Extra Match,Y,Selective,3,Social Science,,,
Chapman Art and Writing Holocaust Contest,Annual Holocaust Art and Writing Contest,"art, film",Y,Very Selective,4,Visual Arts,,,
Chapman Art and Writing Holocaust Contest,Annual Holocaust Art and Writing Contest,"poetry, prose",Y,Very Selective,4,Humanities,,,
CleanTech Competition,CSTL,No Extra Match,Y,Very Selective,4,Tech/Engineering,,,
Connect What You're Studying in School With the World Today,"New York Times, NY Times, NYT",No Extra Match,Y,Very Selective,4,Social Science,Communication,,
Conrad Spirit of Innovation Challenge,Conrad Challenge,"Aerospace, aviation, Cyber-Technology, Security",Y,Extremely Selective,5,Tech/Engineering,,,
Conrad Spirit of Innovation Challenge,Conrad Challenge,"Energy, environment",Y,Extremely Selective,5,Tech/Engineering,Math/Science,Social Science,
Conrad Spirit of Innovation Challenge,Conrad Challenge,"Health, nutrition, ",Y,Extremely Selective,5,Math/Science,,,
Conrad Spirit of Innovation Challenge,Conrad Challenge,No Extra Match,Y,Extremely Selective,5,Tech/Engineering,Math/Science,,
Creative Minds Writing Contest,"Imagine Magazine, Johns Hopkins, JHU",No Extra Match,Y,Very Selective,4,Humanities,,,
C-Span's Student Cam,C-Span,No Extra Match,Y,Very Selective,4,Social Science,Communication,Visual Arts,
Democracy Youth Film Challenge,Civic Life Project,No Extra Match,Y,Selective,3,Communication,Social Science,Visual Arts,
Destination Imagination,,No Extra Match,Y,Very Selective,4,Social Science,Engineering,,
Diamond Challenge,,No Extra Match,Y,Very Selective,4,Business,Tech/Engineering,Math/Science,
Doodle 4 Google,,No Extra Match,Y,Extremely Selective,5,Visual Arts,,,
Dream Quest One,,No Extra Match,Y,Very Selective,4,Humanities,,,
eCYBERMISSION,,No Extra Match,Y,Selective,3,Tech/Engineering,Math/Science,,
Editorial Cartoon Contest,"New York Times, NY Times, NYT",No Extra Match,Y,Very Selective,4,Visual Arts,Communication,,
Editorial Contest,"New York Times, NY Times, NYT",No Extra Match,Y,Very Selective,4,Communication,Humanities,Social Science,
EngineerGirl Writing Contest,,No Extra Match,Y,Selective,3,Tech/Engineering,Humanities,,
ExploraVision,"Toshiba, NSTA",No Extra Match,Y,Very Selective,4,Tech/Engineering,Math/Science,,
First Freedom Student Competition ,,No Extra Match,Y,Very Selective,4,Social Science,Humanities,,
FIRST Robotics,FRC,No Extra Match,Y,Extremely Selective,5,Tech/Engineering,,,
FIRST Tech Challenge,FTC,No Extra Match,Y,Very Selective,4,Tech/Engineering,,,
Founders' First Freedom High School and College Writing Contest,First Freedom,No Extra Match,Y,Very Selective,4,Social Science,Humanities,,
Foyle Young Poet's Award,,No Extra Match,Y,Very Selective,4,Humanities,,,
Genius Olympiad,,"Art, Short Film",Y,Very Selective,4,Visual Arts,,,
Genius Olympiad,,Business,Y,Very Selective,4,Business,,,
Genius Olympiad,,Music,Y,Very Selective,4,Music,,,
Genius Olympiad,,No Extra Match,Y,Very Selective,4,Math/Science,,,
Genius Olympiad,,Robotics,Y,Very Selective,4,Tech/Engineering,,,
Genius Olympiad,,Science,Y,Very Selective,4,Math/Science,,,
Genius Olympiad,,Writing,Y,Very Selective,4,Social Science,,,
Gloria Barron Prize for Young Heroes,,No Extra Match,Y,Very Selective,4,Social Science,Business,,
Google Science Fair,,No Extra Match,Y,Extremely Selective,5,Tech/Engineering,Math/Science,,
Gould Prize for Essays in English Literature,"Gould Prize, Trinity College",No Extra Match,Y,Extremely Selective,5,Humanities,,,
Harvard GlobalWe Essay Contest,,No Extra Match,Y,Very Selective,4,Social Science,,,
Harvard Pre-Collegiate Economics Challenge,HPEC,No Extra Match,Y,Extremely Selective,5,Social Science,,,
HUEA HCER International Essay Competition,,No Extra Match,Y,Very Selective,4,Social Science,,,
Hypernova Lit,,Art,Y,Mediocre,2,Visual Arts,,,
Hypernova Lit,,No Extra Match,Y,Mediocre,2,Humanities,Visual Arts,,
Hypernova Lit,,Writing,Y,Mediocre,2,Humanities,,,
Imagine Cup,,No Extra Match,Y,Extremely Selective,5,Tech/Engineering,,,
Imagine the Future Youth Video Challenge,,No Extra Match,Y,Very Selective,4,Communication,Visual Arts,,
INEPO,International Environmental Project Olympiad,No Extra Match,Y,Very Selective,4,Tech/Engineering,Math/Science,,
Inkitt Wiring Contests,,No Extra Match,Y,Very Selective,4,Humanities,,,
International Economics Olympiad,IEO,No Extra Match,Y,Very Selective,4,Social Science,Business,,
International Geography Olympiad,iGEO,No Extra Match,Y,Selective,3,Social Science,,,
International Journal of Arts and Science,IJAS,Business and Economics,Y,Very Selective,4,Business,Social Science,,
International Journal of Arts and Science,IJAS,No Extra Match,Y,Very Selective,4,Humanities,Social Science,,
International Journal of Arts and Science,IJAS,Social Science and Humanities,Y,Very Selective,4,Social Science,Humanities,,
International Journal of Arts and Science,IJAS,Teaching and Education,Y,Very Selective,4,Social Science,,,
International Journal of Arts and Science,IJAS,Technology and Science,Y,Very Selective,4,Tech/Engineering,Math/Science,,
International Journal of Humanities and Social Science (IJHSS),,No Extra Match,Y,Very Selective,4,Humanities,Social Science,,
International Linguistics Olympiad,,No Extra Match,Y,Selective,3,Humanities,Math/Science,,
International Philosophy Olympiad,,No Extra Match,Y,Extremely Selective,5,Humanities,,,
International Torrance Legacy Creativity Awards,,Creative Writing,Y,Very Selective,4,Humanities,,,
International Torrance Legacy Creativity Awards,,Inventions,Y,Very Selective,4,Tech/Engineering,,,
International Torrance Legacy Creativity Awards,,Music Composition,Y,Very Selective,4,Music,,,
International Torrance Legacy Creativity Awards,,No Extra Match,Y,Very Selective,4,Visual Arts,Humanities,,
International Torrance Legacy Creativity Awards,,Visual Arts,Y,Very Selective,4,Visual Arts,,,
ISSCY,International Social Science Conference for Youth,No Extra Match,Y,Very Selective,4,Social Science,Humanities,,
JA COY,Company of the Year,No Extra Match,Y,Very Selective,4,Business,,,
JA ITC,International Trade Challenge,No Extra Match,Y,Extremely Selective,5,Business,,,
JA Samsung E-startup Playground,,No Extra Match,Y,Selective,3,Business,,,
Jet Fuel Review,,No Extra Match,Y,Selective,3,Humanities,,,
JFK Profile In Courage,,No Extra Match,Y,Very Selective,4,Social Science,Humanities,,
John Locke Institute Essay Competition,,No Extra Match,Y,Very Selective,4,Humanities,Social Science,,
John Locke Institute Essay Competition,,"Philosophy, History, Theology",Y,Very Selective,4,Humanities,,,
John Locke Institute Essay Competition,,"Politics, Economics, Psychology, Law",Y,Very Selective,4,Social Science,,,
Journal of Social Science Education (JSSE),,No Extra Match,Y,Very Selective,4,Social Science,,,
Journal of the American Philosophical Association,,No Extra Match,Y,Very Selective,4,Humanities,,,
JSHS,Junior Science & Humanities Symposia,"Engineering, Technology, Mathematics, computer science",Y,Very Selective,4,Tech/Engineering,,,
JSHS,Junior Science & Humanities Symposia,"Environmental Science, Biomedical Sciences, Life Science, Medicine & Health, Behavioral Science, physical science, chemistry",Y,Very Selective,4,Math/Science,,,
JSHS,Junior Science & Humanities Symposia,No Extra Match,Y,Very Selective,4,Tech/Engineering,Math/Science,,
Korea Business Competition,"KBC, Korea Case Study Competition, KCSC",No Extra Match,Y,Very Selective,4,Business,,,
Leonard L. Milberg Poetry Prize,"Princeton University, Lewis Center for Arts",No Extra Match,Y,Very Selective,4,Humanities,,,
Letters About Literature,,No Extra Match,Y,Selective,3,Humanities,,,
LifeSmarts,,No Extra Match,Y,Very Selective,4,Social Science,Business,,
Marshall Society Essay Competition,,No Extra Match,Y,Very Selective,4,Social Science,,,
Mathcounts Competition,,No Extra Match,Y,Selective,3,Math/Science,,,
MIT INSPIRE,,"Art and architecture, linguistics, literature, history, philosophy, anthropology",Y,Very Selective,4,Humanities,,,
MIT INSPIRE,,"Comparative media studies, science technology and society",Y,Very Selective,4,Communication,Social Science,,
MIT INSPIRE,,"Cultural studies, economics, political science, Women's and Gender studies",Y,Very Selective,4,Social Science,,,
MIT INSPIRE,,Music Research,Y,Very Selective,4,Music,,,
MIT INSPIRE,,No Extra Match,Y,Very Selective,4,Humanities,Social Science,,
NACLO,North American Computational Linguistics Olympiad,No Extra Match,Y,Selective,3,Humanities,Math/Science,,
Nancy Thorp Poetry Contest,,No Extra Match,Y,Very Selective,4,Humanities,,,
National Council of Teachers of English Achievement Awards,,No Extra Match,Y,Selective,3,Humanities,,,
National Economics Challenge,NEC by Council for Economic Education,No Extra Match,Y,Very Selective,4,Social Science,,,
National Geographic Student Photo Competition,,No Extra Match,Y,Very Selective,4,Visual Arts,,,
National High School Essay Contest - ASFA,,No Extra Match,Y,Very Selective,4,Social Science,,,
National Peace Essay Contest,,No Extra Match,Y,Very Selective,4,Social Science,Humanities,,
National Poetry Competition,,No Extra Match,Y,Very Selective,4,Humanities,,,
National STEM Video Game Challenge,,No Extra Match,Y,Selective,3,Tech/Engineering,Math/Science,,
National YoungArts Foundation,,"Dance, Theater",Y,Selective,3,Performing Arts,,,
National YoungArts Foundation,,"Film, Visual Arts, Photography, Photo, Design",Y,Selective,3,Visual Arts,Communication,,
National YoungArts Foundation,,"Jazz, Classical Music, Composition, Voice",Y,Selective,3,Music,,,
National YoungArts Foundation,,No Extra Match,Y,Selective,3,Visual Arts,Humanities,,
National YoungArts Foundation,,"Writing, novel, poetry, spoken word, Play, script, non-fiction, creative",Y,Selective,3,Humanities,,,
NFFTY ,,No Extra Match,Y,Very Selective,4,Communication,Visual Arts,,
NFMC Lynn Freeman Olson Competition,,No Extra Match,Y,Selective,3,Music,,,
NHD,National History Day ,No Extra Match,Y,Very Selective,4,Humanities,,,
NSHSS Activism and Advocacy Scholarship,,No Extra Match,Y,Selective,3,Social Science,,,
NSHSS Creative Writing Scholarship,,No Extra Match,Y,Selective,3,Humanities,,,
NSHSS Diversity Scholarship,,No Extra Match,Y,Selective,3,Social Science,,,
NSHSS Film and Video Scholarship,,No Extra Match,Y,Selective,3,Communication,Visual Arts,,
NSHSS Foundation Business & Public Policy Scholarship,,No Extra Match,Y,Selective,3,Business,Social Science,,
NSHSS Key Chapter Awards,,No Extra Match,Y,Selective,3,Social Science,,,
NSHSS Success with Sustainability Scholarship,,No Extra Match,Y,Selective,3,Social Science,,,
NSHSS Visual Arts Competition,,No Extra Match,Y,Selective,3,Visual Arts,,,
Ocean Awareness Student Contest,,Music,Y,Selective,3,Music,,,
Ocean Awareness Student Contest,,No Extra Match,Y,Selective,3,Visual Arts,,,
Ocean Awareness Student Contest,,"Poetry, Prose",Y,Selective,3,Humanities,,,
Ocean Awareness Student Contest,,"Visual Art, Film",Y,Selective,3,Visual Arts,,,
Palgrave Communications,,No Extra Match,Y,Very Selective,4,Humanities,Social Science,,
Paradigm Challenge,,No Extra Match,Y,Very Selective,4,Business,Tech/Engineering,,
Patricia Grodd Poetry Contest,Kenyon Review,No Extra Match,Y,Extremely Selective,5,Humanities,,,
Personal Narrative Writing Contest,"New York Times, NY Times, NYT",No Extra Match,Y,Very Selective,4,Humanities,Communication,,
Podcast Challenge,"New York Times, NY Times, NYT",No Extra Match,Y,Very Selective,4,Communication,,,
Presidential Scholar in the Arts,YoungArts Presidential Scholar in the Arts,No Extra Match,Y,Extremely Selective,5,Visual Arts,Music,Humanities,Performing Arts
President's Volunteer Service Award,,No Extra Match,Y,Selective,3,Social Science,,,
Project Mars,,No Extra Match,Y,Very Selective,4,Visual Arts,Communication,,
Purple Comet,,No Extra Match,Y,Selective,3,Math/Science,,,
Questioz,International online journal of high school research,Engineering,Y,Selective,3,Tech/Engineering,,,
Questioz,International online journal of high school research,Humanities,Y,Selective,3,Humanities,,,
Questioz,International online journal of high school research,"Natural Sciences, Math",Y,Selective,3,Math/Science,,,
Questioz,International online journal of high school research,No Extra Match,Y,Selective,3,Humanities,Social Science,,
Questioz,International online journal of high school research,"social Sciences, Social Science",Y,Selective,3,Social Science,,,
"Quill & Scroll International Writing, Photo, and Multimedia Contest",,"Blogging, audio, advertisement, broadcasting, cartoon",Y,Selective,3,Communication,,,
"Quill & Scroll International Writing, Photo, and Multimedia Contest",,No Extra Match,y,Selective,3,Social Science,Communication,,
"Quill & Scroll International Writing, Photo, and Multimedia Contest",,"Photo, photography, design, graphic",Y,Selective,3,Visual Arts,,,
"Quill & Scroll International Writing, Photo, and Multimedia Contest",,"Writing, reporting, editorial",Y,Selective,3,Social Science,,,
Rattle Young Poets Anthology,,No Extra Match,Y,Selective,3,Humanities,,,
Regeneron International Science and Engineering Fair,"ISEF, Intel ISEF",No Extra Match,Y,Extremely Selective,5,Math/Science,Tech/Engineering,,
Regeneron Science Talent Search,"Intel STS, STS",No Extra Match,Y,Extremely Selective,5,Math/Science,Tech/Engineering,,
Review Contest,"New York Times, NY Times, NYT",No Extra Match,Y,Very Selective,4,Social Science,Communication,,
Scholastic Art and Writing Awards,,"Architecture & Industrial Design, Ceramics & Glass, Comic Art, Design, Digital Art, Drawing & Illustration, Editorial Cartoon, Fashion, Film & Animation, Future New, Jewelry, Mixed Media, Painting, Photography, Printmaking, Sculpture, Video Game Design, Art Portfolio",Y,Selective,3,Visual Arts,,,
Scholastic Art and Writing Awards,,"Critical Essay, Dramatic Script, Flash Fiction, Humor, Journalism, Novel Writing, Personal Essay & Memoir, Poetry, Science Fiction & Fantasy, Short Story, Writing Portfolio",Y,Selective,3,Humanities,,,
Scholastic Art and Writing Awards,,No Extra Match,Y,Selective,3,Humanities,,,
Science Olympiad,,No Extra Match,Y,Selective,3,Tech/Engineering,Math/Science,,
Science Without Borders,,No Extra Match,Y,Very Selective,4,Visual Arts,,,
Show Us Your Generation Photo Contest,"New York Times, NY Times, NYT",No Extra Match,Y,Very Selective,4,Visual Arts,Communication,,
"Siemens Competition in Math, Science, and Technology",Siemens,No Extra Match,Y,Extremely Selective,5,Tech/Engineering,Math/Science,,
Signet Classics Student Scholarship Essay Contest,,No Extra Match,Y,Selective,3,Humanities,,,
Skipping Stones Magazine,,No Extra Match,Y,Selective,3,Communication,Humanities,,
Society of Professional Journalists: High School Essay Contest,,No Extra Match,Y,Very Selective,4,Social Science,Communication,,
STEM Writing Contest,"New York Times, NY Times, NYT",No Extra Match,Y,Very Selective,4,Math/Science,Tech/Engineering,Communication,
Stockholm Junior Water Prize,Junior Water Prize,No Extra Match,Y,Extremely Selective,5,Math/Science,Tech/Engineering,,
Student Ideas for a Better America ,,No Extra Match,Y,Very Selective,4,Tech/Engineering,,,
Technovation,,No Extra Match,Y,Very Selective,4,Tech/Engineering,Business,,
Teen Ink Asia Essay Competition,Teenink Asia,No Extra Match,Y,Selective,3,Humanities,,,
Teen Ink Essay Competition,Teenink,No Extra Match,Y,Selective,3,Humanities,,,
Ten-Minute Play Contest,"Princeton University, Lewis Center for Arts",No Extra Match,Y,Extremely Selective,5,Humanities,Performing Arts,,
The Adroit Prizes for Poetry and Prose,,No Extra Match,Y,Extremely Selective,5,Humanities,,,
The Concord Review,The Emerson Prize,No Extra Match,Y,Extremely Selective,5,Humanities,Social Science,,
The Interlochen Review,,No Extra Match,Y,Selective,3,Humanities,,,
The Interlochen Review,,"Poetry, nonfiction, fiction, hybrid, screen plays, script, senior showcase",Y,Selective,3,Humanities,,,
The Interlochen Review,,Songs,Y,Selective,3,Humanities,,,
The Interlochen Review,,visual art,Y,Selective,3,Humanities,,,
The Journal of Philosophy,,No Extra Match,Y,Very Selective,4,Humanities,,,
The New Voice One-Act Competition for Young Playwrights,YouthPLAYS,No Extra Match,Y,Selective,3,Humanities,Performing Arts,,
The Social Science Journal,,No Extra Match,Y,Very Selective,4,Social Science,,,
TOPSS,APA Teachers of Psychologyin Secondary Schools,No Extra Match,Y,Very Selective,4,Social Science,,,
UI Hemingway Festival HIGH SCHOOL WRITING CONTEST,,No Extra Match,Y,Very Selective,4,Humanities,,,
USACO,USA Computing Olympiad,No Extra Match,Y,Extremely Selective,5,Tech/Engineering,,,
Verizon Innovative Challenge,Verizon National Innovative App Challenge,No Extra Match,Y,Extremely Selective,5,Tech/Engineering,,,
VEX Robotics Competition,,No Extra Match,Y,Very Selective,4,Tech/Engineering,,,
Vocabulary Video Contest,"New York Times, NY Times, NYT",No Extra Match,Y,Very Selective,4,Visual Arts,Communication,,
VSA Playwright Discovery Competition,,Disability,Y,Selective,3,Humanities,Performing Arts,,
We the Students Essay Contest by Bill of Rights Institute,,No Extra Match,Y,Very Selective,4,Social Science,,,
William Faulkner Literary Competition,,No Extra Match,Y,Very Selective,4,Humanities,,,
Words of Women,,No Extra Match,Y,Selective,3,Social Science,,,
World Historian Student Essay Competition,,No Extra Match,Y,Very Selective,4,Humanities,,,
World of 7 Billion Student Video Contest,,No Extra Match,Y,Selective,3,Communication,Social Science,Visual Arts,
Worldwide Plays Festival,Writopia Lab,No Extra Match,Y,Very Selective,4,Humanities,Performing Arts,,
WSDC,The World Schools Debating Championships,No Extra Match,Y,Extremely Selective,5,Social Science,,,
Young Authors Writing Competition,Columbia College Chicago,No Extra Match,Y,Very Selective,4,Humanities,,,
Young Scientists Journal,,No Extra Match,Y,Selective,3,Tech/Engineering,Math/Science,,
"
GISTech-I Competition
",,No Extra Match,NaN,Very Selective,4,Business,,,
“I Dare” Business Plan Competition ,,No Extra Match,NaN,Very Selective,4,Business,,,
21st Century Challenge Competition,,No Extra Match,NaN,Very Selective,4,Business,,,
3D Artist CG Student Awards,,No Extra Match,NaN,Very Selective,4,Visual Arts,,,
A*Star Talent Search,,No Extra Match,NaN,Very Selective,4,Math/Science,,,
A+ Click Math Challenge,,No Extra Match,NaN,Mediocre,2,Math/Science,,,
AAPT High School Physics Photo Contest,,No Extra Match,NaN,Very Selective,4,Math/Science,,,
Accounts of Chemical Research,,No Extra Match,NaN,Very Selective,4,Math/Science,,,
ACM Computing Reviews,,No Extra Match,NaN,Very Selective,4,Math/Science,,,
ACM Transactions on Algorithms ,,No Extra Match,NaN,Very Selective,4,Tech/Engineering,,,
ACSI Student Activities,,No Extra Match,NaN,Mediocre,2,Humanities,,,
ACSL Programming Contest,American Computer Science League,No Extra Match,NaN,Very Selective,4,Tech/Engineering,,,
Acta Mathematica,,No Extra Match,NaN,Very Selective,4,Math/Science,,,
Advanced Composite Materials,,No Extra Match,NaN,Very Selective,4,Tech/Engineering,,,
Advanced Functional Materials,,No Extra Match,NaN,Very Selective,4,Tech/Engineering,,,
Advanced Materials,,No Extra Match,NaN,Very Selective,4,Tech/Engineering,,,
Advances in Production Engineering & Management,,No Extra Match,NaN,Very Selective,4,Math/Science,,,
AFA Teens for Alzheimer's Awareness College Essay Contest,,No Extra Match,NaN,Very Selective,4,Math/Science,,,
African Innovation Prize,,No Extra Match,NaN,Selective,3,Business,,,
Agronomy for Sustainable Development,,No Extra Match,NaN,Very Selective,4,Math/Science,,,
AIME,American Invitational Mathematics Examination,No Extra Match,NaN,Very Selective,4,Math/Science,,,
Allergy,,No Extra Match,NaN,Very Selective,4,Math/Science,,,
AMC 10,American Mathematics Competition,No Extra Match,NaN,Selective,3,Math/Science,,,
AMC 12,American Mathematics Competition,No Extra Match,NaN,Selective,3,Math/Science,,,
American Art Review,,No Extra Match,NaN,Very Selective,4,Visual Arts,,,
American Chemical Society,,No Extra Match,NaN,Very Selective,4,Math/Science,,,
American Foreign Service National High School Essay Competition,,No Extra Match,NaN,Very Selective,4,Humanities,,,
American High School Theatre Festival (AHSTF),,No Extra Match,NaN,Very Selective,4,Performing Arts,,,
American Invitational Mathematics Examination,,No Extra Match,NaN,Very Selective,4,Math/Science,,,
American Journal of Botany,,No Extra Match,NaN,Very Selective,4,Math/Science,,,
American Journal of Legal history   ,,No Extra Match,NaN,Very Selective,4,Humanities,,,
American Journal of Public Health,,No Extra Match,NaN,Very Selective,4,Math/Science,,,
American Justice Essay Scholarship (WSAJ Scholarship),,No Extra Match,NaN,Very Selective,4,Social Science,,,
American Legion National High School Oratorical Contest,,No Extra Match,NaN,Very Selective,4,Social Science,,,
American Naturalist,,No Extra Match,NaN,Very Selective,4,Math/Science,,,
American Scholastic Mathematics Association Contest,,No Extra Match,NaN,Selective,3,Math/Science,,,
American Scholastic Press Assn (ASPA) Yearbook and Newspaper Contest,,No Extra Match,NaN,Very Selective,4,Social Science,Communication,,
Annals of Botany,,No Extra Match,NaN,Very Selective,4,Math/Science,,,
Annals of Internal Medicine,,No Extra Match,NaN,Very Selective,4,Math/Science,,,
Annals of Mathematics,,No Extra Match,NaN,Very Selective,4,Math/Science,,,
"Annual Creative Writing Contest in Spanish, U of Omaha",,No Extra Match,NaN,Selective,3,Humanities,,,
"Annual German High School (grade11/12) Contest, Canada",,No Extra Match,NaN,Mediocre,2,Humanities,,,
Annual Great Lakes High School Chinese Speech Contest ,,No Extra Match,NaN,Selective,3,Humanities,,,
Annual Johns Hopkins Math Tournament ,,No Extra Match,NaN,Very Selective,4,Math/Science,,,
Annual National High School Chef of the Year Contest at Johnson & Wales University,,No Extra Match,NaN,Very Selective,4,Visual Arts,,,
Annual Review of Biomedical Engineering,,No Extra Match,NaN,Very Selective,4,Tech/Engineering,,,
Annual Review of Fluid Mechanics,,No Extra Match,NaN,Very Selective,4,Tech/Engineering,,,
Annual Review of Immunology,,No Extra Match,NaN,Very Selective,4,Math/Science,,,
Annual Signet Classics Student Scholarship Essay Contest,,No Extra Match,NaN,Very Selective,4,Humanities,,,
Anthem Essay Contest (Ayn Rand Foundation),,No Extra Match,NaN,Selective,3,Humanities,,,
APEC Youth Science Festival,,No Extra Match,NaN,Very Selective,4,Math/Science,,,
Architecture for Humanity,,No Extra Match,NaN,Very Selective,4,Tech/Engineering,,,
Archive for Rational Mechanics and Analyses,,No Extra Match,NaN,Very Selective,4,Tech/Engineering,,,
Archives of Internal Medicine,,No Extra Match,NaN,Very Selective,4,Math/Science,,,
Arizona State Edson Student Entrepreneur Initiative,,No Extra Match,NaN,Very Selective,4,Business,,,
ARML,American Regions Mathematics League,No Extra Match,NaN,Very Selective,4,Math/Science,,,
Art and Architecture Journal,,No Extra Match,NaN,Very Selective,4,Visual Arts,,,
Art in America,,No Extra Match,NaN,Very Selective,4,Visual Arts,,,
ArtAsiaPacific,,No Extra Match,NaN,Very Selective,4,Visual Arts,,,
ASA Poster Competition and Project Competition,,No Extra Match,NaN,Very Selective,4,Math/Science,,,
ASHG DNA Essay Contest,,No Extra Match,NaN,Very Selective,4,Math/Science,,,
Asian Pacific Astronomy Olympiad,,No Extra Match,NaN,Extremely Selective,5,Math/Science,,,
Asian Pacific Mathematics Olympiad,APMO,No Extra Match,NaN,Very Selective,4,Math/Science,,,
Asian Physics Olympiad,AphO,No Extra Match,NaN,Very Selective,4,Math/Science,,,
Asian Schools Debating Championship (ASDC),,No Extra Match,NaN,Selective,3,Social Science,,,
Asian-Pacific Astronomy Olympiad,APAO,No Extra Match,NaN,Very Selective,4,Math/Science,,,
Asia-Pacific Informatics Olympiad,APIO,No Extra Match,NaN,Very Selective,4,Math/Science,,,
Associated Board of the Royal School of Music(ABRSM) Certificates Level 1-8,,No Extra Match,NaN,Selective,3,Music,,,
Astronomical Journal,,No Extra Match,NaN,Very Selective,4,Math/Science,,,
Astronomy & Astrophysics Journal   ,,No Extra Match,NaN,Very Selective,4,Math/Science,,,
Astrophysical Journal,,No Extra Match,NaN,Very Selective,4,Math/Science,,,
Atmospheric Chemistry and Physics,,No Extra Match,NaN,Very Selective,4,Math/Science,,,
Australian Mathematics Competition,,No Extra Match,NaN,Very Selective,4,Math/Science,,,
Avogadro Chemistry Contest,,No Extra Match,NaN,Very Selective,4,Math/Science,,,
"Awesome Math ""Mathematical Reflections"" ",,No Extra Match,NaN,Very Selective,4,Math/Science,,,
AWM Biographies Contest,Biographies for Contemporary Women in Mathematics Essay Contest,No Extra Match,NaN,Very Selective,4,Humanities,Communication,,
B.J. Spoke Gallery,,No Extra Match,NaN,Very Selective,4,Visual Arts,,,
Baiada Business Incubator Competition ,,No Extra Match,NaN,Very Selective,4,Business,,,
Baja SAE,,No Extra Match,NaN,Very Selective,4,Tech/Engineering,,,
BattleBotsIQ,,No Extra Match,NaN,Selective,3,Tech/Engineering,,,
Be Your Own Boss Bowl Business Competition(BYOBB),,No Extra Match,NaN,Very Selective,4,Business,,,
Behavioral and Brain Sciences,,No Extra Match,NaN,Very Selective,4,Math/Science,,,
Being an American Essay Contest,,No Extra Match,NaN,Very Selective,4,Humanities,,,
Best Teen Chef Competition (Art Institute),,No Extra Match,NaN,Very Selective,4,Visual Arts,,,
Bickel & Brewer/NYU Int'l Public Policy Forum (IPPF),,No Extra Match,NaN,Very Selective,4,Social Science,,,
Biochemical Journal,,No Extra Match,NaN,Very Selective,4,Math/Science,,,
BioEssays,,No Extra Match,NaN,Very Selective,4,Math/Science,,,
Biola University High School Composition Competition (BUHSCC),,No Extra Match,NaN,Very Selective,4,Music,,,
Biological Reviews,,No Extra Match,NaN,Very Selective,4,Math/Science,,,
Biology Letters               ,,No Extra Match,NaN,Very Selective,4,Math/Science,,,
Biomechanics and Modeling in Mechanobiology,,No Extra Match,NaN,Very Selective,4,Tech/Engineering,,,
